prospect_id,domain,organization,platform_type,country,target_audience,submission_url,contact_name,contact_email,contact_form,status,priority,relevance_score,editorial_quality_score,lead_potential_score,link_possibility_score,spam_risk_score,target_asset,suggested_target_url,contact_date,followup_date,response,result,live_url,anchor_text,notes
P001,,,A6 Project partner,,Interior designer / project partner,,,,,Researching,High,,,,,,Project case,https://www.vishomecarpet.com/projects,,,,,,Carpet supplied by Vishome Carpet,Manual partner identification required
P002,,,A6 Project partner,,Flooring contractor / installer,,,,,Researching,High,,,,,,Project case,https://www.vishomecarpet.com/projects,,,,,,commercial carpet manufacturing partner,Manual partner identification required
P003,,,A6 Project partner,,Hotel renovation contractor,,,,,Researching,High,,,,,,Hospitality carpet page,https://www.vishomecarpet.com/products/hospitality-carpet,,,,,,hotel carpet project specification,Manual partner identification required
P004,,,A6 Project partner,,Office renovation contractor,,,,,Researching,High,,,,,,Office carpet tiles page,https://www.vishomecarpet.com/products/office-carpet-tiles,,,,,,office carpet tile supplier,Manual partner identification required
P005,,,A6 Project partner,,Distributor / dealer,,,,,Researching,High,,,,,,Product category,https://www.vishomecarpet.com/products,,,,,,Vishome Carpet,Manual partner identification required
P006,,,A6 Project partner,,Project photographer,,,,,Researching,Medium,,,,,,Project case,https://www.vishomecarpet.com/projects,,,,,,commercial carpet project,Photo approval required
P007,,,A6 Project partner,,Architectural practice,,,,,Researching,High,,,,,,Architects page,https://www.vishomecarpet.com/architects-designers,,,,,,carpet specification support,Manual partner identification required
P008,,,A6 Project partner,,Commercial interior contractor,,,,,Researching,High,,,,,,Application page,https://www.vishomecarpet.com/applications,,,,,,commercial carpet applications,Manual partner identification required
P009,,,A1 Product specification platform,,Architects and specifiers,,,,,Researching,High,,,,,,Technical library,https://www.vishomecarpet.com/resources/technical-library,,,,,,technical data sheet for commercial carpet,Verify platform eligibility and fees
P010,,,A1 Product specification platform,,Material library reviewers,,,,,Researching,High,,,,,,Press kit,https://www.vishomecarpet.com/media/press-kit,,,,,,commercial carpet manufacturer,Verify platform eligibility and fees
P011,,,A1 Product specification platform,,Product library buyers,,,,,Researching,High,,,,,,Office carpet tiles,https://www.vishomecarpet.com/products/office-carpet-tiles,,,,,,office carpet tiles,Verify platform eligibility and fees
P012,,,A1 Product specification platform,,Hospitality specifiers,,,,,Researching,High,,,,,,Hospitality carpet,https://www.vishomecarpet.com/products/hospitality-carpet,,,,,,hospitality carpet,Verify platform eligibility and fees
P013,,,A1 Product specification platform,,BIM/CAD platform reviewers,,,,,Researching,Medium,,,,,,BIM/CAD page,https://www.vishomecarpet.com/resources/bim-cad,,,,,,BIM CAD carpet resources,BIM files require professional verification
P014,,,A3 Hospitality media,,Hotel design editors,,,,,Researching,High,,,,,,Hotel corridor application,https://www.vishomecarpet.com/applications/hotel-corridor,,,,,,hotel corridor carpet specification,Find real editorial target
P015,,,A3 Hospitality media,,Hotel procurement readers,,,,,Researching,High,,,,,,Hotel broadloom guide,https://www.vishomecarpet.com/resources/downloads/hotel-broadloom-procurement-guide,,,,,,hotel broadloom procurement guide,Find real editorial target
P016,,,A3 Hospitality media,,Hospitality renovation readers,,,,,Researching,Medium,,,,,,Hospitality carpet page,https://www.vishomecarpet.com/products/hospitality-carpet,,,,,,hotel carpet project,Find real editorial target
P017,,,A3 Hospitality media,,Hotel design case readers,,,,,Researching,Medium,,,,,,Projects,https://www.vishomecarpet.com/projects,,,,,,hospitality carpet case,Client approval required for named projects
P018,,,A4 Office design media,,Office design readers,,,,,Researching,High,,,,,,Office application,https://www.vishomecarpet.com/applications/office,,,,,,office carpet specification,Find real editorial target
P019,,,A4 Office design media,,Workplace renovation readers,,,,,Researching,High,,,,,,Office carpet tiles,https://www.vishomecarpet.com/products/office-carpet-tiles,,,,,,office carpet tiles,Find real editorial target
P020,,,A4 Office design media,,Facility managers,,,,,Researching,Medium,,,,,,Carpet tile guide,https://www.vishomecarpet.com/resources/downloads/commercial-carpet-tile-buying-specification-guide,,,,,,commercial carpet tile guide,Find real editorial target
P021,,,A5 Flooring trade media,,Flooring trade editors,,,,,Researching,High,,,,,,Technical library,https://www.vishomecarpet.com/resources/technical-library,,,,,,commercial carpet technical library,Find real editorial target
P022,,,A5 Flooring trade media,,Flooring contractors,,,,,Researching,High,,,,,,Installation resources,https://www.vishomecarpet.com/resources/installation-guides,,,,,,commercial carpet installation guide,Find real editorial target
P023,,,A5 Flooring trade media,,Flooring maintenance readers,,,,,Researching,Medium,,,,,,Maintenance resources,https://www.vishomecarpet.com/resources/maintenance-guides,,,,,,commercial carpet maintenance guide,Find real editorial target
P024,,,A10 Trade show,,Building materials visitors,,,,,Researching,Medium,,,,,,Press kit,https://www.vishomecarpet.com/media/press-kit,,,,,,Vishome Carpet,Manual event eligibility required
P025,,,A10 Trade show,,Hotel supplies visitors,,,,,Researching,Medium,,,,,,Hospitality carpet,https://www.vishomecarpet.com/products/hospitality-carpet,,,,,,hotel carpet supplier,Manual event eligibility required
P026,,,A9 Association,,Flooring association members,,,,,Researching,Medium,,,,,,Quality control,https://www.vishomecarpet.com/quality-control,,,,,,commercial carpet quality control,Membership eligibility required
P027,,,A9 Association,,Chamber or trade directory,,,,,Researching,Medium,,,,,,Commercial manufacturer page,https://www.vishomecarpet.com/commercial-carpet-manufacturer,,,,,,commercial carpet manufacturer,Membership eligibility required
P028,,,A12 Supplier/technology partner,,Material or backing partner,,,,,Researching,Medium,,,,,,Product category,https://www.vishomecarpet.com/products,,,,,,commercial carpet products,Partner confirmation required
P029,,,A12 Supplier/technology partner,,Logistics or packing partner,,,,,Researching,Medium,,,,,,Project sheets,https://www.vishomecarpet.com/resources/project-sheets,,,,,,commercial carpet project packing,Partner confirmation required
P030,,,A13 Local business directory,,Verified business profile reviewers,,,,,Researching,Low,,,,,,Press kit,https://www.vishomecarpet.com/media/press-kit,,,,,,Vishome Carpet,Use only high-quality relevant directory
