is_eligible_search,is_eligible_checkout,item_id,mpn,title,description,url,brand,condition,product_category,material,image_url,additional_image_urls,price,availability,listing_has_variations,variant_dict,seller_name,seller_url,return_policy,target_countries,store_country
false,false,VCARPETSLUXURYHOTELCARPETTILE50X50CM,VCARPETSLUXURYHOTELCARPETTILE50X50CM,Luxury Hotel Carpet Tile 50x50cm | Commercial Nylon Carpet Tiles,"VCARPETS Luxury Hotel Carpet Tile 50x50cm is a modular commercial carpet tile solution for hotel carpet floor renovation, office carpet projects, corridors, lobbies, meeting rooms, and global B2B flooring buyers. The tile carpet format supports easy installation, selective replacement, color coordination, and project-scale supply for contractors, distributors, hotels, offices, and commercial renovation teams.",https://www.vcarpets.com/products/carpet-tiles/luxury-hotel-carpet-tile-50x50cm,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,Nylon / PP Option,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/01-main-carpet-tile-top-view.webp,"https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/01-main-carpet-tile-top-view.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/02-close-up-pile-texture.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/03-hotel-corridor-installed-scene.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/04-carpet-tile-backing-underside.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/05-color-range-swatches.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/06-hotel-guest-room-application.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/07-hotel-lobby-corridor-application.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/08-conference-room-carpet-tiles.webp,https://www.vcarpets.com/images/products/luxury-hotel-carpet-tile-50x50cm/09-executive-office-carpet-tiles.webp",,unknown,true,"{""material"":""Nylon / PP Option"",""size"":""50x50 cm"",""colors"":""Textured Gray | Charcoal | Warm Taupe | Soft Beige""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSECOCOREPEBACKINGCARPETTILES,VCARPETSECOCOREPEBACKINGCARPETTILES,VCARPETS EcoCore PVC-Free PE Backing Carpet Tiles,"VCARPETS EcoCore PE Backing Carpet Tiles are developed for B2B flooring projects where sustainability, modular flexibility, and commercial durability need to work together. The product combines a dense textured loop pile surface with a stable PVC-free PE backing structure, creating a practical flooring solution for office buildings, coworking spaces, education facilities, public workspaces, and LEED-oriented green building interiors.",https://www.vcarpets.com/products/carpet-tiles/ecocore-pe-backing-carpet-tiles,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,Solution-Dyed Nylon / Synthetic Fiber Option,https://www.vcarpets.com/images/products/ecocore-pe-backing/01-hero-white-background.webp,,,unknown,true,"{""material"":""Solution-Dyed Nylon / Synthetic Fiber Option"",""size"":""50x50 cm"",""colors"":""Carbon Gray | Warm Greige | Silver Ash""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETS50X50NYLONPPOFFICECARPETTILES,VCARPETS50X50NYLONPPOFFICECARPETTILES,50x50 Nylon PP Office Carpet Tiles,"VCARPETS 50x50 Nylon PP Office Carpet Tiles are modular commercial carpet tiles designed for B2B office carpet, hotel carpet floor, corridor, retail, and public workspace projects. The tile carpet floor format supports quick installation, easy replacement, flexible layout design, and factory custom options for buyers who need nylon carpet tiles, PP carpet tiles, tile office carpet, tile floor carpet, and interlocking carpet tiles for large commercial interiors.",https://www.vcarpets.com/products/carpet-tiles/50x50-nylon-pp-office-carpet-tiles,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,Nylon / PP Option,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/01-hero-product.webp,"https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/01-hero-product.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/02-top-view.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/03-stack-display.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/04-texture-close-up.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/05-modern-office-application.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/06-installation-demonstration.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/07-product-structure.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/08-wear-resistance.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/09-oem-odm-custom-options.webp,https://www.vcarpets.com/images/products/50x50-nylon-pp-office-carpet-tiles/10-factory-qc.webp",,unknown,true,"{""material"":""Nylon / PP Option"",""size"":""50x50 cm"",""colors"":""Warm Beige | Camel Brown | Charcoal | Graphite Gray""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSNYLONOFFICECARPETTILE,VCARPETSNYLONOFFICECARPETTILE,Nylon 50x50 Commercial Office Carpet Tile,"VCARPETS Nylon 50x50 Commercial Office Carpet Tile is a heavy-duty modular flooring system built for demanding workplaces. Each 50x50 cm tile is tufted from resilient 100% nylon in a dense loop pile that resists crushing, matting, and abrasion, keeping open-plan offices, corridors, hotel carpet floors, and meeting rooms looking sharp under constant foot and chair-caster traffic.",https://www.vcarpets.com/products/carpet-tiles/nylon-office-carpet-tile,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,100% Nylon,https://www.vcarpets.com/images/nylon-office-carpet-tile.webp,"https://www.vcarpets.com/images/products/nylon-office-carpet-tile/01-hero-commercial-office.webp,https://www.vcarpets.com/images/products/nylon-office-carpet-tile/02-corridor-gray-carpet-tiles.webp,https://www.vcarpets.com/images/products/nylon-office-carpet-tile/03-office-hallway-blue-gray-carpet-tiles.webp,https://www.vcarpets.com/images/products/nylon-office-carpet-tile/04-lobby-modular-carpet-tiles.webp",,unknown,true,"{""material"":""100% Nylon"",""size"":""50x50 cm"",""colors"":""Charcoal Gray | Slate Blue | Soft Taupe | Light Gray""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSGRAYLINENYLONOFFICEHOTELCARPETTILES,VCARPETSGRAYLINENYLONOFFICEHOTELCARPETTILES,VCARPETS Gray Line Nylon Carpet Tiles for Office and Hotel Carpet Floors,"VCARPETS Gray Line Nylon Carpet Tiles are designed for buyers sourcing durable, modern carpet tiles for office carpet, hotel carpet floor, meeting room, corridor, and commercial carpet projects. The gray textured tile carpet design uses subtle yellow-green line accents to create a clean architectural floor effect, while the modular tile carpet floor format supports fast installation, flexible layout direction, and easy replacement for large commercial interiors.",https://www.vcarpets.com/products/carpet-tiles/gray-line-nylon-office-hotel-carpet-tiles,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,Nylon / PP Option,https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/01-office-workspace-carpet-tiles.webp,"https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/01-office-workspace-carpet-tiles.webp,https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/02-hotel-lounge-carpet-tiles.webp,https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/03-open-office-carpet-tiles.webp,https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/04-meeting-room-carpet-tiles.webp,https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/05-commercial-office-detail.webp,https://www.vcarpets.com/images/products/gray-line-nylon-office-carpet-tiles/06-conference-room-detail.webp",,unknown,true,"{""material"":""Nylon / PP Option"",""size"":""50x50 cm"",""colors"":""Textured Gray | Charcoal | Lime Accent | Blue Accent""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSCOMMERCIALNYLONTILES,VCARPETSCOMMERCIALNYLONTILES,Premium Nylon 6.6 Commercial Carpet Tiles,"VCARPETS Premium Nylon 6.6 Commercial Carpet Tiles combine Class 33 traffic performance, bitumen backing, stain resistance, and modular replacement for high-use office and contract interiors.",https://www.vcarpets.com/products/carpet-tiles/commercial-nylon-tiles,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Commercial Carpet Tiles,100% Nylon 6.6,https://www.vcarpets.com/images/carpet-tile-premium.webp,,,unknown,false,"{""material"":""100% Nylon 6.6"",""size"":""50x50 cm""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSLUXURYHOTELBROADLOOM,VCARPETSLUXURYHOTELBROADLOOM,Axminster 80/20 Wool Blend Hotel Carpet,"VCARPETS Axminster wool-blend broadloom is a custom woven hotel carpet for premium contract interiors, with project-specific jacquard patterns, roll planning, and export supply.",https://www.vcarpets.com/products/wall-to-wall/luxury-hotel-broadloom,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,80% Wool / 20% Nylon,https://www.vcarpets.com/images/broadloom-premium.webp,"https://www.vcarpets.com/images/products/wall-to-wall/luxury-hotel-broadloom/02-axminster-hotel-corridor-application.webp,https://www.vcarpets.com/images/products/wall-to-wall/luxury-hotel-broadloom/03-wool-blend-carpet-pattern-closeup.webp,https://www.vcarpets.com/images/products/wall-to-wall/luxury-hotel-broadloom/04-wall-to-wall-broadloom-edge-detail.webp,https://www.vcarpets.com/images/products/wall-to-wall/luxury-hotel-broadloom/05-luxury-hospitality-corridor-finish.webp",,unknown,false,"{""material"":""80% Wool / 20% Nylon"",""size"":""4m Width""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETS3DPRINTEDHOTELCARPET,VCARPETS3DPRINTEDHOTELCARPET,3D HD Printed Nylon Hotel Carpet,"VCARPETS's 3D HD Printed Nylon Hotel Carpet is a wall-to-wall broadloom flooring solution engineered for hospitality interiors. Using high-definition digital printing on a durable 100% nylon surface, it reproduces intricate, photo-realistic patterns and rich color depth that conventional dyed carpets cannot match - at a lower setup cost and faster lead time than woven Axminster or Wilton broadloom.",https://www.vcarpets.com/products/wall-to-wall/3d-printed-hotel-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,100% Nylon (HD Printed),https://www.vcarpets.com/images/3d-printed-hotel-carpet-corridor.webp,"https://www.vcarpets.com/images/3d-printed-hotel-carpet-roll.webp,https://www.vcarpets.com/images/3d-printed-hotel-carpet-guestroom.webp,https://www.vcarpets.com/images/3d-printed-hotel-carpet.webp,https://www.vcarpets.com/images/3d-printed-hotel-carpet-ballroom.webp,https://www.vcarpets.com/images/3d-printed-hotel-carpet-macro.webp,https://www.vcarpets.com/images/3d-printed-hotel-carpet-backing.webp,https://www.vcarpets.com/images/3d-printed-hotel-carpet-colorways.webp",,unknown,false,"{""material"":""100% Nylon (HD Printed)"",""size"":""4m Width""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETSCUSTOMLUXURYHOTELROOMCARPET,VCARPETSCUSTOMLUXURYHOTELROOMCARPET,Custom Luxury Hotel Room Carpet,"Made-to-order wall-to-wall carpet for hotel guestrooms, suites, corridors and hospitality renovation projects with customizable patterns, flexible material options and project-confirmed technical specifications.",https://www.vcarpets.com/products/wall-to-wall/custom-luxury-hotel-room-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,Project-specific nylon or wool-nylon options,https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/01-main-luxury-hotel-room-carpet.webp,"https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/01-main-luxury-hotel-room-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/02-hotel-suite-custom-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/03-hotel-corridor-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/04-boutique-hotel-bedroom-carpet.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/05-hospitality-carpet-roll.webp,https://www.vcarpets.com/images/products/wall-to-wall/custom-luxury-hotel-room-carpet/06-custom-carpet-pile-closeup.webp",,unknown,true,"{""material"":""Project-specific nylon or wool-nylon options"",""size"":""Custom Roll and Cutting Plan"",""colors"":""Warm Stone Beige | Deep Navy | Muted Teal | Rust Red | Champagne Gold""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
false,false,VCARPETS3DPRINTEDBANQUETHALLCARPET,VCARPETS3DPRINTEDBANQUETHALLCARPET,Custom 3D Printed Banquet Hall Carpet,"VCARPETS's Custom 3D Printed Banquet Hall Carpet brings high-definition inkjet printing to large-scale hospitality broadloom. Unlike traditional woven banquet room carpet, the 3D printing process reproduces photo-realistic custom patterns with unlimited colors at a low MOQ and a fast 15-25 day lead time, while premium high-density nylon pile keeps the durability, stain resistance, and Class I fire rating that banquet halls, hotel corridors, and event spaces demand.",https://www.vcarpets.com/products/wall-to-wall/3d-printed-banquet-hall-carpet,VCARPETS,new,Home & Garden > Decor > Rugs & Carpets > Wall-to-Wall Commercial Carpet,100% High-Density Nylon / Soft Synthetic Blend,https://www.vcarpets.com/images/products/3d-printed-banquet-carpet/01-guest-room-main.webp,"https://www.vcarpets.com/images/products/3d-printed-banquet-carpet/01-guest-room-main.webp,https://www.vcarpets.com/images/products/3d-printed-banquet-carpet/02-banquet-hall.webp,https://www.vcarpets.com/images/products/3d-printed-banquet-carpet/03-billiard-room.webp,https://www.vcarpets.com/images/products/3d-printed-banquet-carpet/04-corridor-detail.webp",,unknown,false,"{""material"":""100% High-Density Nylon / Soft Synthetic Blend"",""size"":""4m Width""}","Vcarpets Global Commercial Carpet Co., Ltd.",https://www.vcarpets.com,,US,CN
