project_id,route_slug,title,url,category,country_or_market,image,sections_count,gallery_count,recommended_product_ids,authorization_status,backlink_target_status
case-1,hotel-lobby-axminster-carpet-dubai,Hotel Lobby Axminster Carpet: Dubai Specification Guide,https://www.vishomecarpet.com/projects/hotel-lobby-axminster-carpet-dubai,wall-to-wall,"Hotel lobby, corridors and connected hospitality zones",/images/case-series/case-1/Case_1_Lobby_Grand_Reveal.webp,5,5,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-2,department-store-carpet-tiles-india,Department Store Carpet Tiles: India Retail Specification Guide,https://www.vishomecarpet.com/projects/department-store-carpet-tiles-india,carpet-tiles,Department store sales floors and branded departments,/images/case-series/case-2/Case_2_Store_Entrance.webp,5,5,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-3,casino-carpet-nylon-broadloom-las-vegas,Casino Carpet: Nylon Broadloom Specification Guide for Las Vegas,https://www.vishomecarpet.com/projects/casino-carpet-nylon-broadloom-las-vegas,wall-to-wall,"Gaming floors, casino circulation and entertainment areas",/images/case-series/case-3/Case_3_Casino_Hall.webp,5,5,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-4,healthcare-hospital-carpet-tiles-singapore,Healthcare Carpet Tiles: Singapore Hospital Specification Guide,https://www.vishomecarpet.com/projects/healthcare-hospital-carpet-tiles-singapore,public-area,Selected non-clinical hospital and healthcare interiors,/images/case-series/case-4/Case_4_Hospital_Ward.webp,5,5,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-5,multi-floor-office-carpet-tiles-tokyo,Multi-Floor Office Carpet Tiles: Tokyo Workplace Planning Guide,https://www.vishomecarpet.com/projects/multi-floor-office-carpet-tiles-tokyo,carpet-tiles,Eight-floor occupied workplace program,/images/case-techpark.webp,4,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-6,airport-terminal-carpet-tiles-singapore,Airport Terminal Carpet Tiles: Singapore High-Traffic Guide,https://www.vishomecarpet.com/projects/airport-terminal-carpet-tiles-singapore,public-area,Airport terminal circulation and waiting areas,/images/products/public-area/public-area-heavy-duty/01-main-public-area-heavy-duty-carpet.webp,4,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-7,luxury-residential-custom-carpet-mumbai,Luxury Residential Custom Carpet: Mumbai High-Rise Guide,https://www.vishomecarpet.com/projects/luxury-residential-custom-carpet-mumbai,wall-to-wall,Six luxury high-rise residential units,/images/projects/case-7/main-mumbai-luxury-residential-carpet.webp,4,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-8,university-campus-carpet-tiles-australia,University Campus Carpet Tiles: Australia Specification Guide,https://www.vishomecarpet.com/projects/university-campus-carpet-tiles-australia,carpet-tiles,Campus learning and high-use student spaces,/images/case-wework.webp,4,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-9,extended-stay-hotel-carpet-tiles-south-korea,Extended-Stay Hotel Carpet Tiles: South Korea Planning Guide,https://www.vishomecarpet.com/projects/extended-stay-hotel-carpet-tiles-south-korea,carpet-tiles,45 extended-stay units and hospitality circulation,/images/case-hilton.webp,4,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-10,luxury-retail-custom-carpet-paris,Luxury Retail Custom Carpet: Paris Flagship Specification Guide,https://www.vishomecarpet.com/projects/luxury-retail-custom-carpet-paris,wall-to-wall,Luxury flagship retail and boutique presentation,/images/case-resort.webp,4,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-11,reusable-exhibition-carpet-expo-booths-johannesburg,Reusable Exhibition Carpet: Expo Booth Specification Guide,https://www.vishomecarpet.com/projects/reusable-exhibition-carpet-expo-booths-johannesburg,public-area,"Expo booths, convention halls and temporary event floors",/images/projects/case-11/exhibition-booth-light-grey-carpet.webp,6,0,CONFIRM_PRODUCTS_USED,use_anonymous_reference_until_client_approval,usable_case_reference
case-12,gold-mining-sluice-carpet-peru,Gold Mining Sluice Carpet: Peru Roll and Container Guide,https://www.vishomecarpet.com/projects/gold-mining-sluice-carpet-peru,public-area,Alluvial gold sluices and bulk distributor programs,/images/projects/case-12/gold-sluice-carpet-alluvial-mining-reference.webp,6,0,gold-mining-carpet-mat,use_anonymous_reference_until_client_approval,usable_case_reference
case-13,gold-mining-carpet-colombia-distributor-guide,Gold Mining Carpet: Colombia Distributor Roll and Sample Guide,https://www.vishomecarpet.com/projects/gold-mining-carpet-colombia-distributor-guide,public-area,Alluvial gold sluices and distributor resale programs,/images/projects/case-13/colombia-gold-mining-carpet-hero.webp,4,0,gold-mining-carpet-mat,use_anonymous_reference_until_client_approval,usable_case_reference
case-14,office-carpet-tiles-canada-phased-renovation-guide,Office Carpet Tiles: Canada Phased Renovation Procurement Guide,https://www.vishomecarpet.com/projects/office-carpet-tiles-canada-phased-renovation-guide,carpet-tiles,"Corporate office floors, meeting rooms and circulation corridors",/images/projects/case-14/canada-office-carpet-tiles-hero.webp,4,0,nylon-office-carpet-tile; commercial-nylon-tiles; ecocore-pe-backing-carpet-tiles,use_anonymous_reference_until_client_approval,usable_case_reference
